Callsign 2I0VIM
    32 lines received:
    $$PICO,170,19:01:00,52.01345,1.00000,3500*35
    $$PICO,63,09:39:49,52.12072,0.81381,115*35
    $$PICO,86,10:05:05,52.12866,0.85716,244*35
    $$PICO,119,10:40:29,52.03122,1.25248,994*07
    $$PICO,136,11:00:55,51.93945,1.48706,1610*31
    $$PICO,150,11:17:03,51.88225,1.65350,2098*3E
    $$PICO,152,11:19:22,51.87372,1.67939,2168*34
    $$PICO,154,11:21:40,51.86420,1.70294,2263*3E
    $$PICO,156,11:23:58,51.85481,1.72396,2363*3F
    $$PICO,160,11:28:35,51.83663,1.76379,2539*3E
    $$PICO,162,11:30:53,51.82717,1.78448,2655*34
    $$PICO,164,11:33:12,51.81787,1.80708,2767*3E
    $$PICO,166,11:35:30,51.80843,1.83070,2858*34
    $$PICO,168,11:37:49,51.79838,1.85760,2931*32
    $$PICO,170,11:40:07,51.78812,1.88611,3012*3B
    $$PICO,172,11:42:25,51.77791,1.91425,3109*36
    $$PICO,174,11:44:44,51.76673,1.93927,3186*37
    $$PICO,176,11:47:02,51.75538,1.96274,3222*3E
    $$PICO,178,11:49:20,51.74439,1.98655,3270*31
    $$PICO,180,11:51:39,51.73316,2.01188,3335*3E
    $$PICO,182,11:53:57,51.72190,2.03983,3365*3F
    $$PICO,195,12:08:04,51.65245,2.19915,3219*31
    $$PICO,197,12:10:22,51.64110,2.21909,3141*34
    $$PICO,204,12:19:19,51.59762,2.31568,2879*38
    $$PICO,206,12:21:38,51.58661,2.34117,2811*36
    $$PICO,208,12:23:56,51.57645,2.36504,2744*30
    $$PICO,210,12:26:14,51.56696,2.38793,2706*31
    $$PICO,216,12:33:09,51.53811,2.45443,2556*38
    $$PICO,220,12:37:46,51.52045,2.49739,2540*3F
    $$PICO,222,12:40:04,51.51204,2.51867,2537*32
    $$PICO,224,12:42:23,51.50374,2.54107,2534*3D
    $$PICO,226,12:44:41,51.49532,2.56385,2551*38
    $$PICO,228,12:47:00,51.48647,2.58705,2593*3C
    $$PICO,236,12:56:13,51.45215,2.67892,2714*3F
    $$PICO,238,12:58:31,51.44374,2.70116,2740*3A
    $$PICO,240,13:00:50,51.43527,2.72320,2779*36
    $$PICO,242,13:03:08,51.42666,2.74560,2820*3A
    $$PICO,244,13:05:26,51.41693,2.76927,2860*36
    $$PICO,246,13:07:45,51.40622,2.79374,2930*3F
    $$PICO,248,13:10:03,51.39515,2.81606,3006*36
    $$PICO,252,13:14:40,51.37212,2.86632,3003*35
    $$PICO,308,14:19:14,51.09118,3.59490,1455*38
    $$PICO,310,14:38:00,51.03783,3.77913,1022*37

